doc_title,zhengwen_id,sbck_id,jdsw_id
周易,KR1a0001,KR1a0006,KR1g0003_002
尚書,KR1b0001,KR1b0002,"KR1g0003_003,KR1g0003_004"
毛詩,KR1c0001,KR1c0002,"KR1g0003_005,KR1g0003_006,KR1g0003_007"
周禮,KR1d0001,KR1d0002,"KR1g0003_008,KR1g0003_009"
儀禮,CH1e0873,KR1d0026,KR1g0003_010
禮記,KR1d0052,KR1d0054,"KR1g0003_011,KR1g0003_012,KR1g0003_013,KR1g0003_014"
春秋左傳,KR1e0001,KR1e0002,"KR1g0003_015,KR1g0003_016,KR1g0003_017,KR1g0003_018,KR1g0003_019,KR1g0003_020"
春秋公羊傳,CH1e0877,KR1e0007,KR1g0003_021
春秋穀梁傳,KR1e0008,KR1e0009,KR1g0003_022
孝經,KR1f0001,KR1f0002,KR1g0003_023
論語,KR1h0004,KR1h0005,KR1g0003_024
老子,KR5c0057,KR5c0065,KR1g0003_025
莊子,KR5c0126,KR5c0051,"KR1g0003_026,KR1g0003_027,KR1g0003_028"