text	KRP zhengwen	zhengwen alternative	KRP SBCK/SKQSH	注/傳/學/集解 attribution by LDM
Zhouyi	KR1a0001	_	KR1a0006	王弼, 韓康伯 (繫辭, 說卦)
Shangshu	KR1b0001	_	KR1b0004 (w/ 音義 & 疏)	(pseudo-)孔安國
Maoshi/Shijing	KR1c0001	_	KR1c0004 (w/ 音義 & 疏)	鄭玄
Zhouli	_	?	KR1d0002	n/a
Yili	_	?	KR1d0026	n/a
Liji	KR1d0052	_	KR1d0053 (w/ 音義 & 疏)	鄭玄
Zuozhuan	KR1e0001	_	KR1e0092	杜預
Gongyang zhuan	_	?	KR1e0007	何休
Guliang zhuan	KR1e0008	_	KR1e0009	范甯
Xiaojing	KR1f0001	_	?	鄭玄
Lunyu	KR1h0004	_	KR1h0005	何晏
Laozi/Daodejing	KR5c0057	_	KR5c0065	河上公
Zhuangzi	KR5c0126	_	KR5c0138	郭象
Erya	_	?	KR1j0002	n/a